,MealsOut,SchBkfst_0,SchBkfst_1,SchBkfst_2,SchLunch_0,SchLunch_1,SchLunch_2,NwkLunch,NwkBkfast,Milk30Days,SchMeal,NwkMeals,MilkType,GTot,GRefine,GWhole,VTot,VDrkGr,VRedOrTot,VRedOr,VTomato,VStarchTot,VStarchPot,VStarchOth,VOther,Legume,FTot,FCitMlB,FOther,DTot,DMilk,DYogurt,DCheese,PTot,Pmps,PMeat,PFrank,POrgan,PPoult,PFishLow,PFishHigh,PEgg,PSoy,PNut,Oils,SolidFat,AddSugars,Alcohol
9760,3.0,True,False,False,True,False,False,3.0,0.0,3.0,0.0,4.0,4.0,33.29,31.95,1.34,0.65,0.0,0.65,0.0,0.65,0.0,0.0,0.0,0.0,0.0,3.49,3.47,0.02,3.66,0.0,0.56,3.1,6.2,6.2,0.0,1.33,0.0,4.87,0.0,0.0,0.0,0.0,0.0,44.73,189.86,40.06,6.33
9761,3.0,False,True,False,False,True,False,2.0,0.0,1.0,1.0,3.0,2.0,3.82,3.82,0.0,1.97,0.0,1.14,0.0,1.14,0.83,0.83,0.0,0.0,0.0,1.97,1.45,0.52,0.36,0.29,0.0,0.07,6.04,3.91,0.0,0.36,0.0,3.55,0.0,0.0,2.13,0.0,0.0,6.89,14.4,3.67,0.0
9762,3.0,False,True,False,False,True,False,3.0,0.0,0.0,1.0,4.0,0.0,2.42,2.19,0.24,1.86,0.0,0.48,0.15,0.18,0.87,0.87,0.0,0.66,0.14,1.68,0.01,1.67,0.5,0.0,0.5,0.0,1.14,0.96,0.0,0.0,0.0,0.96,0.0,0.0,0.08,0.0,0.1,8.87,3.62,2.48,0.0
9763,2.0,False,False,True,False,False,True,0.0,0.0,2.0,2.0,2.0,4.0,3.64,3.25,0.4,1.53,0.0,0.0,0.0,0.0,1.27,1.27,0.0,0.26,0.0,0.42,0.42,0.0,0.64,0.64,0.0,0.0,5.68,3.54,0.0,3.54,0.0,0.0,0.0,0.0,2.14,0.0,0.0,28.75,29.81,22.36,0.0
9764,3.0,False,False,True,False,False,True,0.0,0.0,1.0,2.0,2.0,4.0,14.92,14.92,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.38,0.0,0.97,3.25,2.81,0.0,0.88,0.0,1.93,0.0,0.0,0.06,0.38,0.0,53.1,94.02,86.63,0.0
9765,1.0,True,False,False,False,True,False,1.0,0.0,3.0,1.0,1.0,3.0,1.76,1.76,0.0,0.84,0.0,0.12,0.0,0.12,0.28,0.28,0.0,0.44,0.0,0.23,0.23,0.0,2.5,2.5,0.0,0.0,5.13,4.16,0.0,0.0,0.0,4.16,0.0,0.0,0.98,0.0,0.0,18.61,8.69,9.62,0.0
9766,10.0,False,True,False,False,True,False,0.0,0.0,2.0,1.0,1.0,3.0,19.45,19.45,0.0,0.69,0.0,0.23,0.0,0.23,0.0,0.0,0.0,0.45,0.73,1.53,0.01,1.52,3.48,1.67,0.0,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,54.31,55.51,0.0
9767,1.0,False,True,False,False,True,False,5.0,0.0,3.0,1.0,6.0,3.0,6.35,6.35,0.0,0.97,0.0,0.34,0.0,0.34,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,2.91,1.38,0.0,1.53,13.84,11.41,2.61,4.47,0.0,4.33,0.0,0.0,0.0,0.0,2.43,30.8,34.95,5.54,0.0
9768,1.0,False,True,False,False,True,False,5.0,0.0,2.0,1.0,6.0,4.0,7.91,7.91,0.0,2.44,1.15,0.31,0.0,0.31,0.0,0.0,0.0,0.97,1.14,2.28,0.0,2.28,2.46,0.82,0.0,1.64,8.03,4.3,2.32,1.98,0.0,0.0,0.0,0.0,0.0,0.0,3.73,30.8,25.54,20.48,0.0
9769,5.0,False,True,False,False,True,False,3.0,0.0,3.0,1.0,4.0,1.0,16.57,16.57,0.0,3.73,0.0,0.97,0.06,0.84,0.4,0.0,0.4,2.41,2.42,0.35,0.33,0.02,4.7,3.15,0.0,1.55,7.22,6.29,0.0,6.29,0.0,0.0,0.0,0.0,0.04,0.0,0.89,30.24,114.62,59.33,0.0
